ID,Suhu,Kelembaban,CO2 (MQ135),Status,Timestamp,Suhu_noisy,Kelembaban_noisy,CO2 (MQ135)_noisy,kategori,threshold_version,labeled_at,used_noisy_values
crTvPDslRSzPtEswlPvE,26.2,62.0,204.0,OK,2025-11-07T03:35:26.000Z,26.178429094396574,62.92442064092596,350.0,Almost Rotten,maize-storage-rules-v1,2025-11-07T08:01:49.411779Z,True
3xBYJKrL44M7BTMxUT3u,24.8,67.0,163.0,OK,2025-11-06T17:05:07.000Z,25.066498311982315,68.02396826129413,350.0,Almost Rotten,maize-storage-rules-v1,2025-11-07T08:01:49.411779Z,True
0quUGFGATDhLhRjdmJQE,26.2,63.0,197.0,OK,2025-11-07T03:18:41.000Z,25.87456598432033,61.94771853343196,350.0,Almost Rotten,maize-storage-rules-v1,2025-11-07T08:01:49.411779Z,True
XUiiyRgXn0ZwzZdQgQZS,21.7,66.0,655.0,OK,2025-10-28T13:26:44.000Z,21.40119765840593,67.26620123816812,648.6413848427737,Almost Rotten,maize-storage-rules-v1,2025-11-07T08:01:49.411779Z,True
e3iqiuPtSTuv6oc4mBKR,24.5,68.0,247.0,OK,2025-11-06T16:38:54.000Z,24.251790552409883,67.22857891961769,350.0,Almost Rotten,maize-storage-rules-v1,2025-11-07T08:01:49.411779Z,True
FyHsnKHOy4Vt7B2RxS6I,26.2,63.0,302.0,OK,2025-11-07T03:35:36.000Z,25.92179283766248,62.63511489546194,350.0,Almost Rotten,maize-storage-rules-v1,2025-11-07T08:01:49.411779Z,True
3vKbLqGkdNwUYt0Iwwch,23.6,69.0,259.0,OK,2025-11-07T04:20:36.000Z,23.81428291588682,67.84296760446836,350.0,Almost Rotten,maize-storage-rules-v1,2025-11-07T08:01:49.411779Z,True
zJ5Sq878IKucsYC4kEWd,26.2,62.0,247.0,OK,2025-11-07T03:24:24.000Z,26.40202460457924,62.39291489693452,350.0,Almost Rotten,maize-storage-rules-v1,2025-11-07T08:01:49.411779Z,True
7coZxVWNkACj5U1ZtU73,26.1,62.0,159.0,OK,2025-11-07T03:37:42.000Z,25.968053160551797,62.12319003017161,350.0,Almost Rotten,maize-storage-rules-v1,2025-11-07T08:01:49.411779Z,True
mUnf8JhhGsCV60VYEUUo,24.2,60.0,126.0,NORMAL,2025-10-21T13:56:18.000Z,24.615429428038397,59.22203939827442,350.0,Normal,maize-storage-rules-v1,2025-11-07T08:01:49.411779Z,True
3tyh54gpZRf0NZuGVEuU,21.7,66.0,555.0,OK,2025-10-28T13:28:25.000Z,21.510110924372256,66.59139234576668,559.9596909702066,Almost Rotten,maize-storage-rules-v1,2025-11-07T08:01:49.411779Z,True
9hPTkJFsVuqIKWpTVAKB,24.9,66.0,444.0,OK,2025-11-07T03:07:37.000Z,25.22409791315153,66.84976510283771,445.2193983649862,Almost Rotten,maize-storage-rules-v1,2025-11-07T08:01:49.411779Z,True
1LuzOQY3HaE22O4GLjoC,24.8,69.0,158.0,OK,2025-11-06T17:08:02.000Z,24.44267862214264,69.67504013626977,350.0,Almost Rotten,maize-storage-rules-v1,2025-11-07T08:01:49.411779Z,True
4ktDlxRD6sOPNVYnFf6S,24.6,68.0,202.0,OK,2025-11-06T16:49:25.000Z,24.867660233197217,67.00780210465085,350.0,Almost Rotten,maize-storage-rules-v1,2025-11-07T08:01:49.411779Z,True
bligl4axvgntRXevDNe1,24.5,69.0,314.0,OK,2025-11-06T16:34:07.000Z,24.984927729348453,68.43436584926657,350.0,Almost Rotten,maize-storage-rules-v1,2025-11-07T08:01:49.411779Z,True
R7py2siPvyI3MEejedkL,25.7,64.0,2235.0,OK,2025-11-06T15:48:15.000Z,25.513239526482632,65.11687294157994,2206.7752633637992,Rotten,maize-storage-rules-v1,2025-11-07T08:01:49.411779Z,True
cftuk1qygcBHPA2tVdAy,26.0,66.0,1136.0,OK,2025-11-06T15:59:33.000Z,26.019671228186567,66.47252214481543,1126.2664101599055,Rotten,maize-storage-rules-v1,2025-11-07T08:01:49.411779Z,True
MXG9R9ywsPNhQgl1j9gc,24.7,67.0,146.0,OK,2025-11-06T17:16:05.000Z,24.30519089790201,67.54973753527791,350.0,Almost Rotten,maize-storage-rules-v1,2025-11-07T08:01:49.411779Z,True
S3DpgEs4xwDOOPxCRT58,25.5,65.0,711.0,OK,2025-11-06T16:17:31.000Z,25.7425535072285,65.03263757260687,714.9647348038932,Almost Rotten,maize-storage-rules-v1,2025-11-07T08:01:49.411779Z,True
glLevABNiZ58fWklPY10,24.4,59.0,129.0,NORMAL,2025-10-21T13:58:37.000Z,24.342379528634883,59.98936415451095,350.0,Normal,maize-storage-rules-v1,2025-11-07T08:01:49.411779Z,True
DLBRK4Mv97UBPhxLBeXY,23.6,68.0,315.0,OK,2025-11-07T04:18:12.000Z,23.298794759705935,68.57587056618728,350.0,Almost Rotten,maize-storage-rules-v1,2025-11-07T08:01:49.411779Z,True
mRhUAfrCY2juQ9fkSI8n,24.5,69.0,315.0,OK,2025-11-06T16:33:40.000Z,24.781804473165955,68.55940402766565,350.0,Almost Rotten,maize-storage-rules-v1,2025-11-07T08:01:49.411779Z,True
QnRAnarn3DnApreiF0hg,23.7,68.0,267.0,OK,2025-11-07T04:11:32.000Z,23.74947131227424,68.37614070504212,350.0,Almost Rotten,maize-storage-rules-v1,2025-11-07T08:01:49.411779Z,True
irWVbemOrH4IbuEvIYLl,24.7,65.0,146.0,OK,2025-11-06T17:16:53.000Z,24.4311333731142,64.428522353806,350.0,Normal,maize-storage-rules-v1,2025-11-07T08:01:49.411779Z,True
